Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target	Appendix B	appendix	chap:appendix-thermodynamics-supplement	label	tex/chapters/app-b-sec01.tex:3	tex/chapters/app-b-sec01.tex:3	defined
target		appendix alias	app:thermodynamics-supplement	label	tex/chapters/app-b-sec01.tex:4	tex/chapters/app-b-sec01.tex:4	defined
target	Section 1	section	sec:app-b-heat-capacity	label	tex/chapters/app-b-sec01.tex:29	tex/chapters/app-b-sec01.tex:29	defined
target	Definition B.1.1	definition	def:app-b-heat-capacity	label	tex/chapters/app-b-sec01.tex:32	tex/chapters/app-b-sec01.tex:32	defined
reference	Chapter I	chapter	chap:fluid-mechanics-equations	ref	tex/chapters/app-b-sec01.tex:12	tex/chapters/ch01-sec01.tex:2	resolved
unresolved	[94]	bibliography	bib:thermodynamics-reference	MBUnresolvedReference	tex/chapters/app-b-sec01.tex:12		unresolved
