Source Reference	Target Object	LaTeX Label	Translation Location
eq:ch3-apx1-589-velocity	equation	eq:ch3-apx1-589-velocity	tex/chapters/chapter-03/section-06.tex:216
eq:ch3-apx1-589-zero-component	equation	eq:ch3-apx1-589-zero-component	tex/chapters/chapter-03/section-06.tex:216
eq:ch3-convergence-bilinear-consistency	equation	eq:ch3-convergence-bilinear-consistency	tex/chapters/chapter-03/section-06.tex:218
eq:ch3-convergence-trilinear-consistency	equation	eq:ch3-convergence-trilinear-consistency	tex/chapters/chapter-03/section-06.tex:226
eq:ch3-apx1-591-v	equation	eq:ch3-apx1-591-v	tex/chapters/chapter-03/section-06.tex:240
eq:ch3-convergence-trilinear-consistency	equation	eq:ch3-convergence-trilinear-consistency	tex/chapters/chapter-03/section-06.tex:278
eq:ch3-convergence-compactness-property	equation	eq:ch3-convergence-compactness-property	tex/chapters/chapter-03/section-06.tex:280
eq:ch3-apx1-compactness-weak-limit	equation	eq:ch3-apx1-compactness-weak-limit	tex/chapters/chapter-03/section-06.tex:305
eq:ch3-apx1-compactness-weak-limit	equation	eq:ch3-apx1-compactness-weak-limit	tex/chapters/chapter-03/section-06.tex:349
eq:ch3-apx1-fourier-transform	equation	eq:ch3-apx1-fourier-transform	tex/chapters/chapter-03/section-06.tex:349
eq:ch3-apx1-fourier-transform	equation	eq:ch3-apx1-fourier-transform	tex/chapters/chapter-03/section-06.tex:356
eq:ch3-apx1-fourier-weak-convergence	equation	eq:ch3-apx1-fourier-weak-convergence	tex/chapters/chapter-03/section-06.tex:362
eq:ch3-apx1-fourier-dominating-function	equation	eq:ch3-apx1-fourier-dominating-function	tex/chapters/chapter-03/section-06.tex:362
eq:ch3-apx1-compactness-local-limit	equation	eq:ch3-apx1-compactness-local-limit	tex/chapters/chapter-03/section-06.tex:362
subsec:ch3-scheme-description	non-equation	subsec:ch3-scheme-description	tex/chapters/chapter-03/section-06.tex:368
thm:ch3-schemes-51-52-stability	non-equation	thm:ch3-schemes-51-52-stability	tex/chapters/chapter-03/section-06.tex:368
thm:ch3-convergence-three-dimensional	non-equation	thm:ch3-convergence-three-dimensional	tex/chapters/chapter-03/section-06.tex:368
eq:ch3-discrete-norm-lower-bound	equation	eq:ch3-discrete-norm-lower-bound	tex/chapters/chapter-03/section-06.tex:378
eq:ch3-discrete-stability-constant	equation	eq:ch3-discrete-stability-constant	tex/chapters/chapter-03/section-06.tex:378
eq:ch3-conforming-simplex-supremum	equation	eq:ch3-conforming-simplex-supremum	tex/chapters/chapter-03/section-06.tex:431
eq:ch3-conforming-stability-constant	equation	eq:ch3-conforming-stability-constant	tex/chapters/chapter-03/section-06.tex:441
eq:ch3-discrete-trilinear-cancellation	equation	eq:ch3-discrete-trilinear-cancellation	tex/chapters/chapter-03/section-06.tex:463
eq:ch3-conforming-b-prime-holder	equation	eq:ch3-conforming-b-prime-holder	tex/chapters/chapter-03/section-06.tex:515
eq:ch3-conforming-b-prime-estimate	equation	eq:ch3-conforming-b-prime-estimate	tex/chapters/chapter-03/section-06.tex:515
eq:ch3-conforming-b-double-prime	equation	eq:ch3-conforming-b-double-prime	tex/chapters/chapter-03/section-06.tex:515
eq:ch3-conforming-poincare	equation	eq:ch3-conforming-poincare	tex/chapters/chapter-03/section-06.tex:536
eq:ch3-conforming-bh-decomposition	equation	eq:ch3-conforming-bh-decomposition	tex/chapters/chapter-03/section-06.tex:536
