Source Reference	Target Object	LaTeX Label	Translation Location
eq:ch3-ac-perturbed-momentum-intro	equation	eq:ch3-ac-perturbed-momentum-intro	tex/chapters/chapter-03/section-08.tex:27
eq:ch3-ac-perturbed-continuity-intro	equation	eq:ch3-ac-perturbed-continuity-intro	tex/chapters/chapter-03/section-08.tex:27
eq:ch3-ac-perturbed-continuity-intro	equation	eq:ch3-ac-perturbed-continuity-intro	tex/chapters/chapter-03/section-08.tex:27
eq:ch3-ac-perturbed-momentum-intro	equation	eq:ch3-ac-perturbed-momentum-intro	tex/chapters/chapter-03/section-08.tex:29
eq:ch3-ac-perturbed-continuity-intro	equation	eq:ch3-ac-perturbed-continuity-intro	tex/chapters/chapter-03/section-08.tex:29
eq:ch3-ac-perturbed-momentum-intro	equation	eq:ch3-ac-perturbed-momentum-intro	tex/chapters/chapter-03/section-08.tex:30
eq:ch3-ac-perturbed-continuity-intro	equation	eq:ch3-ac-perturbed-continuity-intro	tex/chapters/chapter-03/section-08.tex:30
subsec:ch3-ac-perturbed-problems	non-equation	subsec:ch3-ac-perturbed-problems	tex/chapters/chapter-03/section-08.tex:34
eq:ch3-ac-perturbed-momentum-intro	equation	eq:ch3-ac-perturbed-momentum-intro	tex/chapters/chapter-03/section-08.tex:34
eq:ch3-ac-perturbed-continuity-intro	equation	eq:ch3-ac-perturbed-continuity-intro	tex/chapters/chapter-03/section-08.tex:34
subsec:ch3-ac-limit	non-equation	subsec:ch3-ac-limit	tex/chapters/chapter-03/section-08.tex:34
subsec:ch3-ac-numerical	non-equation	subsec:ch3-ac-numerical	tex/chapters/chapter-03/section-08.tex:34
eq:ch3-ac-strong-momentum	equation	eq:ch3-ac-strong-momentum	tex/chapters/chapter-03/section-08.tex:87
eq:ch3-ac-perturbed-momentum-intro	equation	eq:ch3-ac-perturbed-momentum-intro	tex/chapters/chapter-03/section-08.tex:87
eq:ch3-ac-strong-momentum	equation	eq:ch3-ac-strong-momentum	tex/chapters/chapter-03/section-08.tex:90
eq:ch3-ac-pressure-initial	equation	eq:ch3-ac-pressure-initial	tex/chapters/chapter-03/section-08.tex:90
eq:ch3-ac-strong-momentum	equation	eq:ch3-ac-strong-momentum	tex/chapters/chapter-03/section-08.tex:90
eq:ch3-ac-strong-continuity	equation	eq:ch3-ac-strong-continuity	tex/chapters/chapter-03/section-08.tex:90
eq:ch3-ac-initial-data	equation	eq:ch3-ac-initial-data	tex/chapters/chapter-03/section-08.tex:102
eq:ch3-ac-force-data	equation	eq:ch3-ac-force-data	tex/chapters/chapter-03/section-08.tex:102
eq:ch3-ac-pressure-data	equation	eq:ch3-ac-pressure-data	tex/chapters/chapter-03/section-08.tex:102
eq:ch3-ac-problem-one-spaces	equation	eq:ch3-ac-problem-one-spaces	tex/chapters/chapter-03/section-08.tex:130
eq:ch3-ac-problem-one-initial	equation	eq:ch3-ac-problem-one-initial	tex/chapters/chapter-03/section-08.tex:130
eq:ch3-ac-problem-one-spaces	equation	eq:ch3-ac-problem-one-spaces	tex/chapters/chapter-03/section-08.tex:130
eq:ch3-ac-problem-one-continuity	equation	eq:ch3-ac-problem-one-continuity	tex/chapters/chapter-03/section-08.tex:130
eq:ch3-ac-problem-one-initial	equation	eq:ch3-ac-problem-one-initial	tex/chapters/chapter-03/section-08.tex:130
eq:ch3-ac-B-bound	equation	eq:ch3-ac-B-bound	tex/chapters/chapter-03/section-08.tex:171
eq:ch3-ac-problem-one-spaces	equation	eq:ch3-ac-problem-one-spaces	tex/chapters/chapter-03/section-08.tex:174
eq:ch3-ac-problem-one-momentum	equation	eq:ch3-ac-problem-one-momentum	tex/chapters/chapter-03/section-08.tex:174
eq:ch3-ac-problem-one-momentum	equation	eq:ch3-ac-problem-one-momentum	tex/chapters/chapter-03/section-08.tex:174
eq:ch3-ac-problem-one-spaces	equation	eq:ch3-ac-problem-one-spaces	tex/chapters/chapter-03/section-08.tex:192
eq:ch3-ac-problem-one-continuity	equation	eq:ch3-ac-problem-one-continuity	tex/chapters/chapter-03/section-08.tex:192
prob:ch3-ac-weak-formulation-one	non-equation	prob:ch3-ac-weak-formulation-one	tex/chapters/chapter-03/section-08.tex:199
eq:ch3-ac-initial-data	equation	eq:ch3-ac-initial-data	tex/chapters/chapter-03/section-08.tex:202
eq:ch3-ac-force-data	equation	eq:ch3-ac-force-data	tex/chapters/chapter-03/section-08.tex:202
eq:ch3-ac-pressure-data	equation	eq:ch3-ac-pressure-data	tex/chapters/chapter-03/section-08.tex:202
prob:ch3-ac-weak-formulation-one	non-equation	prob:ch3-ac-weak-formulation-one	tex/chapters/chapter-03/section-08.tex:227
prob:ch3-ac-weak-formulation-two	non-equation	prob:ch3-ac-weak-formulation-two	tex/chapters/chapter-03/section-08.tex:227
eq:ch3-ac-initial-data	equation	eq:ch3-ac-initial-data	tex/chapters/chapter-03/section-08.tex:238
eq:ch3-ac-force-data	equation	eq:ch3-ac-force-data	tex/chapters/chapter-03/section-08.tex:238
eq:ch3-ac-pressure-data	equation	eq:ch3-ac-pressure-data	tex/chapters/chapter-03/section-08.tex:238
prob:ch3-ac-weak-formulation-one	non-equation	prob:ch3-ac-weak-formulation-one	tex/chapters/chapter-03/section-08.tex:238
prob:ch3-ac-weak-formulation-two	non-equation	prob:ch3-ac-weak-formulation-two	tex/chapters/chapter-03/section-08.tex:238
lem:ch3-ac-B-time-integrability	non-equation	lem:ch3-ac-B-time-integrability	tex/chapters/chapter-03/section-08.tex:247
thm:ch3-ac-existence	non-equation	thm:ch3-ac-existence	tex/chapters/chapter-03/section-08.tex:249
prob:ch3-ac-weak-formulation-one	non-equation	prob:ch3-ac-weak-formulation-one	tex/chapters/chapter-03/section-08.tex:255
eq:ch3-ac-galerkin-momentum	equation	eq:ch3-ac-galerkin-momentum	tex/chapters/chapter-03/section-08.tex:287
eq:ch3-ac-galerkin-continuity	equation	eq:ch3-ac-galerkin-continuity	tex/chapters/chapter-03/section-08.tex:287
thm:ch3-existence-weak-solution	non-equation	thm:ch3-existence-weak-solution	tex/chapters/chapter-03/section-08.tex:287
eq:ch3-ac-galerkin-momentum	equation	eq:ch3-ac-galerkin-momentum	tex/chapters/chapter-03/section-08.tex:289
eq:ch3-ac-galerkin-continuity	equation	eq:ch3-ac-galerkin-continuity	tex/chapters/chapter-03/section-08.tex:289
eq:ch3-ac-bhat-definition	equation	eq:ch3-ac-bhat-definition	tex/chapters/chapter-03/section-08.tex:301
eq:ch3-ac-galerkin-energy-inequality	equation	eq:ch3-ac-galerkin-energy-inequality	tex/chapters/chapter-03/section-08.tex:329
eq:ch3-ac-galerkin-energy-inequality	equation	eq:ch3-ac-galerkin-energy-inequality	tex/chapters/chapter-03/section-08.tex:353
eq:ch3-ac-galerkin-h1-bound	equation	eq:ch3-ac-galerkin-h1-bound	tex/chapters/chapter-03/section-08.tex:374
eq:ch3-ac-B-bound	equation	eq:ch3-ac-B-bound	tex/chapters/chapter-03/section-08.tex:374
eq:ch3-ac-galerkin-momentum	equation	eq:ch3-ac-galerkin-momentum	tex/chapters/chapter-03/section-08.tex:386
eq:ch3-ac-galerkin-continuity	equation	eq:ch3-ac-galerkin-continuity	tex/chapters/chapter-03/section-08.tex:386
eq:ch3-ac-galerkin-fourier-identity	equation	eq:ch3-ac-galerkin-fourier-identity	tex/chapters/chapter-03/section-08.tex:453
eq:ch3-ac-galerkin-linfty-bound	equation	eq:ch3-ac-galerkin-linfty-bound	tex/chapters/chapter-03/section-08.tex:465
eq:ch3-ac-galerkin-h1-bound	equation	eq:ch3-ac-galerkin-h1-bound	tex/chapters/chapter-03/section-08.tex:465
eq:ch3-ac-galerkin-linfty-bound	equation	eq:ch3-ac-galerkin-linfty-bound	tex/chapters/chapter-03/section-08.tex:506
eq:ch3-ac-galerkin-h1-bound	equation	eq:ch3-ac-galerkin-h1-bound	tex/chapters/chapter-03/section-08.tex:506
eq:ch3-ac-galerkin-fractional-time-bound	equation	eq:ch3-ac-galerkin-fractional-time-bound	tex/chapters/chapter-03/section-08.tex:506
eq:ch3-ac-galerkin-momentum	equation	eq:ch3-ac-galerkin-momentum	tex/chapters/chapter-03/section-08.tex:506
eq:ch3-ac-galerkin-initial	equation	eq:ch3-ac-galerkin-initial	tex/chapters/chapter-03/section-08.tex:506
eq:ch3-ac-galerkin-fractional-time-bound	equation	eq:ch3-ac-galerkin-fractional-time-bound	tex/chapters/chapter-03/section-08.tex:514
eq:ch3-ac-galerkin-momentum	equation	eq:ch3-ac-galerkin-momentum	tex/chapters/chapter-03/section-08.tex:520
eq:ch3-ac-galerkin-continuity	equation	eq:ch3-ac-galerkin-continuity	tex/chapters/chapter-03/section-08.tex:520
eq:ch3-ac-galerkin-integrated-momentum	equation	eq:ch3-ac-galerkin-integrated-momentum	tex/chapters/chapter-03/section-08.tex:538
eq:ch3-ac-galerkin-integrated-continuity	equation	eq:ch3-ac-galerkin-integrated-continuity	tex/chapters/chapter-03/section-08.tex:538
eq:ch3-ac-limit-integrated-momentum	equation	eq:ch3-ac-limit-integrated-momentum	tex/chapters/chapter-03/section-08.tex:556
eq:ch3-ac-limit-integrated-continuity	equation	eq:ch3-ac-limit-integrated-continuity	tex/chapters/chapter-03/section-08.tex:556
prob:ch3-ac-weak-formulation-one	non-equation	prob:ch3-ac-weak-formulation-one	tex/chapters/chapter-03/section-08.tex:556
prob:ch3-ac-weak-formulation-one	non-equation	prob:ch3-ac-weak-formulation-one	tex/chapters/chapter-03/section-08.tex:556
prob:ch3-ac-weak-formulation-two	non-equation	prob:ch3-ac-weak-formulation-two	tex/chapters/chapter-03/section-08.tex:556
thm:ch3-ac-existence	non-equation	thm:ch3-ac-existence	tex/chapters/chapter-03/section-08.tex:556
eq:ch3-ac-galerkin-linfty-bound	equation	eq:ch3-ac-galerkin-linfty-bound	tex/chapters/chapter-03/section-08.tex:565
