Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		equation	eq:appendix-quadrilateral-lagrange-error-w1q	label	tex/chapters/appendix-a-part-03.tex:356	tex/chapters/appendix-a-part-03.tex:356	defined
target		equation	eq:appendix-quadrilateral-l2-projection	label	tex/chapters/appendix-a-part-03.tex:410	tex/chapters/appendix-a-part-03.tex:410	defined
target		remark	rem:appendix-mixed-triangle-quadrilateral-mesh	label	tex/chapters/appendix-a-part-04.tex:3	tex/chapters/appendix-a-part-04.tex:3	defined
target		section	sec:appendix-interpolation-discontinuous-functions	label	tex/chapters/appendix-a-part-04.tex:9	tex/chapters/appendix-a-part-04.tex:9	defined
target		equation	eq:appendix-macroelement-definition	label	tex/chapters/appendix-a-part-04.tex:37	tex/chapters/appendix-a-part-04.tex:37	defined
target		figure	fig:appendix-macroelements-reference-regions	label	tex/chapters/appendix-a-part-04.tex:80	tex/chapters/appendix-a-part-04.tex:80	defined
target		equation	eq:appendix-local-regularization-projection	label	tex/chapters/appendix-a-part-04.tex:88	tex/chapters/appendix-a-part-04.tex:88	defined
target		equation	eq:appendix-local-regularization-interpolant	label	tex/chapters/appendix-a-part-04.tex:97	tex/chapters/appendix-a-part-04.tex:97	defined
target		theorem	thm:appendix-local-regularization-error	label	tex/chapters/appendix-a-part-04.tex:110	tex/chapters/appendix-a-part-04.tex:110	defined
target		equation	eq:appendix-local-regularization-error	label	tex/chapters/appendix-a-part-04.tex:120	tex/chapters/appendix-a-part-04.tex:120	defined
reference	下面的 Theorem 是 Theorem \ref{thm:peetre-tartar-compact-operator}	theorem	thm:peetre-tartar-compact-operator	ref	tex/chapters/appendix-a-part-01.tex:166	tex/chapters/chapter-01-section-02-part-01.tex:28	resolved
reference	将 Lemma \ref{lem:appendix-simplex-change-of-variables},	lemma	lem:appendix-simplex-change-of-variables	ref	tex/chapters/appendix-a-part-01.tex:208	tex/chapters/appendix-a-part-01.tex:129	resolved
reference	\eqref{eq:appendix-simplex-matrix-bounds} 和	equation	eq:appendix-simplex-matrix-bounds	eqref	tex/chapters/appendix-a-part-01.tex:209	tex/chapters/appendix-a-part-01.tex:58	resolved
reference	\eqref{eq:appendix-simplex-determinant-measure}	equation	eq:appendix-simplex-determinant-measure	eqref	tex/chapters/appendix-a-part-01.tex:210	tex/chapters/appendix-a-part-01.tex:65	resolved
reference	与 Corollary \ref{cor:appendix-abstract-interpolation-reference} 结合, 得到:	corollary	cor:appendix-abstract-interpolation-reference	ref	tex/chapters/appendix-a-part-01.tex:211	tex/chapters/appendix-a-part-01.tex:184	resolved
reference	\ref{cor:appendix-abstract-interpolation-reference} 中所述.	corollary	cor:appendix-abstract-interpolation-reference	ref	tex/chapters/appendix-a-part-01.tex:216	tex/chapters/appendix-a-part-01.tex:184	resolved
reference	\eqref{eq:appendix-abstract-interpolation-physical} 简化为	equation	eq:appendix-abstract-interpolation-physical	eqref	tex/chapters/appendix-a-part-01.tex:279	tex/chapters/appendix-a-part-01.tex:228	resolved
reference	参见 Figure \ref{fig:appendix-principal-lattice-order-three} 中 $k=3$ 的情形.	figure	fig:appendix-principal-lattice-order-three	ref	tex/chapters/appendix-a-part-01.tex:326	tex/chapters/appendix-a-part-01.tex:332	resolved
reference	首先注意, \eqref{eq:appendix-moment-interpolant-local} 包含	equation	eq:appendix-moment-interpolant-local	eqref	tex/chapters/appendix-a-part-02.tex:27	tex/chapters/appendix-a-part-02.tex:7	resolved
reference	因此, \eqref{eq:appendix-moment-interpolant-local} 是一个方形线性方程组,	equation	eq:appendix-moment-interpolant-local	eqref	tex/chapters/appendix-a-part-02.tex:29	tex/chapters/appendix-a-part-02.tex:7	resolved
reference	\eqref{eq:appendix-interpolant-commuting-definition}:	equation	eq:appendix-interpolant-commuting-definition	eqref	tex/chapters/appendix-a-part-02.tex:76	tex/chapters/appendix-a-part-01.tex:219	resolved
reference	\ref{cor:appendix-abstract-interpolation-physical} 和 Remark	corollary	cor:appendix-abstract-interpolation-physical	ref	tex/chapters/appendix-a-part-02.tex:83	tex/chapters/appendix-a-part-01.tex:214	resolved
reference	\ref{rem:appendix-local-interpolation-estimate}, 得到:	remark	rem:appendix-local-interpolation-estimate	ref	tex/chapters/appendix-a-part-02.tex:84	tex/chapters/appendix-a-part-01.tex:277	resolved
reference	其唯一性由 \eqref{eq:appendix-neumann-ritz-projection} 的第二个条件得到.	equation	eq:appendix-neumann-ritz-projection	eqref	tex/chapters/appendix-a-part-02.tex:166	tex/chapters/appendix-a-part-02.tex:135	resolved
reference	\eqref{eq:appendix-ritz-projection-lp-error} 的右端还要乘以因子	equation	eq:appendix-ritz-projection-lp-error	eqref	tex/chapters/appendix-a-part-02.tex:196	tex/chapters/appendix-a-part-02.tex:183	resolved
reference	\eqref{eq:appendix-ritz-projection-lp-error} 中的 $L^\infty$ 估计变为	equation	eq:appendix-ritz-projection-lp-error	eqref	tex/chapters/appendix-a-part-02.tex:201	tex/chapters/appendix-a-part-02.tex:183	resolved
reference	Theorem \ref{thm:appendix-ritz-projection-lp-error} 的证明依赖于如下事实:	theorem	thm:appendix-ritz-projection-lp-error	ref	tex/chapters/appendix-a-part-02.tex:211	tex/chapters/appendix-a-part-02.tex:176	resolved
reference	根据 Remark \ref{rem:laplace-isomorphism-convex-domain},	remark	rem:laplace-isomorphism-convex-domain	ref	tex/chapters/appendix-a-part-02.tex:215	tex/chapters/chapter-01-section-01-part-03.tex:273	resolved
reference	这解释了 Theorem \ref{thm:appendix-ritz-projection-lp-error}	theorem	thm:appendix-ritz-projection-lp-error	ref	tex/chapters/appendix-a-part-02.tex:217	tex/chapters/appendix-a-part-02.tex:176	resolved
reference	\eqref{eq:appendix-ritz-projection-lp-error} 可对所有 $k\geq1$ 直接证明;	equation	eq:appendix-ritz-projection-lp-error	eqref	tex/chapters/appendix-a-part-02.tex:220	tex/chapters/appendix-a-part-02.tex:183	resolved
reference	\ref{sec:appendix-interpolation-discontinuous-functions}.	section	sec:appendix-interpolation-discontinuous-functions	ref	tex/chapters/appendix-a-part-02.tex:244	tex/chapters/appendix-a-part-04.tex:9	resolved
reference	\ref{cor:appendix-abstract-interpolation-physical} 的假设,	corollary	cor:appendix-abstract-interpolation-physical	ref	tex/chapters/appendix-a-part-02.tex:259	tex/chapters/appendix-a-part-01.tex:214	resolved
reference	\eqref{eq:appendix-change-inverse},	equation	eq:appendix-change-inverse	eqref	tex/chapters/appendix-a-part-02.tex:296	tex/chapters/appendix-a-part-01.tex:145	resolved
reference	\eqref{eq:appendix-simplex-matrix-bounds} 和	equation	eq:appendix-simplex-matrix-bounds	eqref	tex/chapters/appendix-a-part-02.tex:297	tex/chapters/appendix-a-part-01.tex:58	resolved
reference	\eqref{eq:appendix-simplex-determinant-measure},	equation	eq:appendix-simplex-determinant-measure	eqref	tex/chapters/appendix-a-part-02.tex:298	tex/chapters/appendix-a-part-01.tex:65	resolved
reference	再应用 \eqref{eq:appendix-change-forward} 和	equation	eq:appendix-change-forward	eqref	tex/chapters/appendix-a-part-02.tex:313	tex/chapters/appendix-a-part-01.tex:139	resolved
reference	\eqref{eq:appendix-simplex-determinant-measure}, 得	equation	eq:appendix-simplex-determinant-measure	eqref	tex/chapters/appendix-a-part-02.tex:314	tex/chapters/appendix-a-part-01.tex:65	resolved
reference	根据 \eqref{eq:appendix-simplex-determinant-bounds},	equation	eq:appendix-simplex-determinant-bounds	eqref	tex/chapters/appendix-a-part-02.tex:322	tex/chapters/appendix-a-part-01.tex:71	resolved
reference	\eqref{eq:appendix-local-inverse-intermediate} 的右端含 $h_\kappa$	equation	eq:appendix-local-inverse-intermediate	eqref	tex/chapters/appendix-a-part-02.tex:324	tex/chapters/appendix-a-part-02.tex:315	resolved
reference	\eqref{eq:appendix-local-inverse-inequality}.	equation	eq:appendix-local-inverse-inequality	eqref	tex/chapters/appendix-a-part-02.tex:326	tex/chapters/appendix-a-part-02.tex:284	resolved
reference	设 $r$ 和 $p$ 如 Lemma \ref{lem:appendix-local-inverse-inequality}	lemma	lem:appendix-local-inverse-inequality	ref	tex/chapters/appendix-a-part-02.tex:332	tex/chapters/appendix-a-part-02.tex:279	resolved
reference	\eqref{eq:appendix-local-inverse-inequality} 和 Jensen 不等式	equation	eq:appendix-local-inverse-inequality	eqref	tex/chapters/appendix-a-part-02.tex:346	tex/chapters/appendix-a-part-02.tex:284	resolved
reference	得到 \eqref{eq:appendix-global-inverse-gradient};	equation	eq:appendix-global-inverse-gradient	eqref	tex/chapters/appendix-a-part-02.tex:352	tex/chapters/appendix-a-part-02.tex:335	resolved
reference	\eqref{eq:appendix-local-inverse-intermediate},	equation	eq:appendix-local-inverse-intermediate	eqref	tex/chapters/appendix-a-part-02.tex:365	tex/chapters/appendix-a-part-02.tex:315	resolved
reference	设 $r$ 和 $p$ 如 Lemma \ref{lem:appendix-local-inverse-inequality}	lemma	lem:appendix-local-inverse-inequality	ref	tex/chapters/appendix-a-part-02.tex:377	tex/chapters/appendix-a-part-02.tex:279	resolved
reference	当 $r\leq p$ 时, \eqref{eq:appendix-global-inverse-same-order} 显然成立.	equation	eq:appendix-global-inverse-same-order	eqref	tex/chapters/appendix-a-part-02.tex:389	tex/chapters/appendix-a-part-02.tex:380	resolved
reference	\eqref{eq:appendix-global-inverse-gradient} 的证明十分相似, 留给读者.	equation	eq:appendix-global-inverse-gradient	eqref	tex/chapters/appendix-a-part-02.tex:391	tex/chapters/appendix-a-part-02.tex:335	resolved
reference	\ref{fig:appendix-quadrilateral-reference-square} 所示记为	figure	fig:appendix-quadrilateral-reference-square	ref	tex/chapters/appendix-a-part-03.tex:3	tex/chapters/appendix-a-part-03.tex:18	resolved
reference	\eqref{eq:appendix-simplex-determinant-measure} 在这里不成立;	equation	eq:appendix-simplex-determinant-measure	eqref	tex/chapters/appendix-a-part-03.tex:65	tex/chapters/appendix-a-part-01.tex:65	resolved
reference	因此, 由 \eqref{eq:appendix-quadrilateral-inverse-derivative-jacobian}	equation	eq:appendix-quadrilateral-inverse-derivative-jacobian	eqref	tex/chapters/appendix-a-part-03.tex:88	tex/chapters/appendix-a-part-03.tex:51	resolved
reference	和 \eqref{eq:appendix-quadrilateral-jacobian-extrema} 可见,	equation	eq:appendix-quadrilateral-jacobian-extrema	eqref	tex/chapters/appendix-a-part-03.tex:89	tex/chapters/appendix-a-part-03.tex:68	resolved
reference	\ref{def:appendix-regular-triangulation} 中正则和一致正则三角剖分的定义.	definition	def:appendix-regular-triangulation	ref	tex/chapters/appendix-a-part-03.tex:121	tex/chapters/appendix-a-part-01.tex:257	resolved
reference	\ref{thm:appendix-bramble-hilbert-general} 及其推论的陈述.	theorem	thm:appendix-bramble-hilbert-general	ref	tex/chapters/appendix-a-part-03.tex:138	tex/chapters/appendix-a-part-01.tex:170	resolved
reference	现在, Theorem \ref{thm:appendix-bramble-hilbert-general}	theorem	thm:appendix-bramble-hilbert-general	ref	tex/chapters/appendix-a-part-03.tex:168	tex/chapters/appendix-a-part-01.tex:170	resolved
reference	(与 Lemma \ref{lem:appendix-simplex-change-of-variables} 比较).	lemma	lem:appendix-simplex-change-of-variables	ref	tex/chapters/appendix-a-part-03.tex:199	tex/chapters/appendix-a-part-01.tex:129	resolved
reference	\ref{cor:appendix-abstract-interpolation-physical} 的下列对应结果	corollary	cor:appendix-abstract-interpolation-physical	ref	tex/chapters/appendix-a-part-03.tex:235	tex/chapters/appendix-a-part-01.tex:214	resolved
reference	(与 Remark \ref{rem:appendix-local-interpolation-estimate} 比较).	remark	rem:appendix-local-interpolation-estimate	ref	tex/chapters/appendix-a-part-03.tex:236	tex/chapters/appendix-a-part-01.tex:277	resolved
reference	Theorem \ref{thm:appendix-quadrilateral-bramble-hilbert} 中所述.	theorem	thm:appendix-quadrilateral-bramble-hilbert	ref	tex/chapters/appendix-a-part-03.tex:241	tex/chapters/appendix-a-part-03.tex:172	resolved
reference	注意, \eqref{eq:appendix-quadrilateral-interpolation-error}	equation	eq:appendix-quadrilateral-interpolation-error	eqref	tex/chapters/appendix-a-part-03.tex:298	tex/chapters/appendix-a-part-03.tex:248	resolved
reference	\eqref{eq:appendix-local-interpolation-estimate} 中的指数.	equation	eq:appendix-local-interpolation-estimate	eqref	tex/chapters/appendix-a-part-03.tex:300	tex/chapters/appendix-a-part-01.tex:280	resolved
reference	\ref{fig:appendix-principal-lattice-order-three})上插值函数值,	figure	fig:appendix-principal-lattice-order-three	ref	tex/chapters/appendix-a-part-03.tex:316	tex/chapters/appendix-a-part-01.tex:332	resolved
reference	\ref{lem:appendix-lagrange-interpolation} 的结论, 即	lemma	lem:appendix-lagrange-interpolation	ref	tex/chapters/appendix-a-part-03.tex:340	tex/chapters/appendix-a-part-01.tex:339	resolved
reference	沿 Lemma \ref{lem:appendix-moment-interpolant-local} 的思路容易证明,	lemma	lem:appendix-moment-interpolant-local	ref	tex/chapters/appendix-a-part-03.tex:392	tex/chapters/appendix-a-part-02.tex:3	resolved
reference	\ref{lem:appendix-moment-interpolant-global} 的陈述.	lemma	lem:appendix-moment-interpolant-global	ref	tex/chapters/appendix-a-part-03.tex:405	tex/chapters/appendix-a-part-02.tex:88	resolved
reference	Lemma \ref{lem:appendix-local-l2-projection-error} 的陈述.	lemma	lem:appendix-local-l2-projection-error	ref	tex/chapters/appendix-a-part-03.tex:425	tex/chapters/appendix-a-part-02.tex:263	resolved
reference	最后, Lemma \ref{lem:appendix-local-inverse-inequality} 和 Corollary	lemma	lem:appendix-local-inverse-inequality	ref	tex/chapters/appendix-a-part-03.tex:427	tex/chapters/appendix-a-part-02.tex:279	resolved
reference	\ref{cor:appendix-global-inverse-gradient} 对四边形有限元仍然成立;	corollary	cor:appendix-global-inverse-gradient	ref	tex/chapters/appendix-a-part-03.tex:428	tex/chapters/appendix-a-part-02.tex:331	resolved
reference	而一般而言, Lemma \ref{lem:appendix-global-inverse-same-order}	lemma	lem:appendix-global-inverse-same-order	ref	tex/chapters/appendix-a-part-03.tex:429	tex/chapters/appendix-a-part-02.tex:376	resolved
reference	\eqref{eq:appendix-standard-triangular-fem-spaces} 定义的有限元空间	equation	eq:appendix-standard-triangular-fem-spaces	eqref	tex/chapters/appendix-a-part-04.tex:16	tex/chapters/appendix-a-part-01.tex:299	resolved
reference	(见 Figure \ref{fig:appendix-macroelements-reference-regions} 中的例子).	figure	fig:appendix-macroelements-reference-regions	ref	tex/chapters/appendix-a-part-04.tex:65	tex/chapters/appendix-a-part-04.tex:80	resolved
